Zyklusnummer;Dämpfung;Dämpfung 2;Weg (Amplitude);Weg (Maximum);Weg (Mittelwert);Weg (Minimum);Weg (Spitze-Spitze);Weg in % (Amplitude);Weg in % (Maximum);Weg in % (Mittelwert);Weg in % (Minimum);Weg in % (Spitze-Spitze);Dynamische Steifigkeit;Dynamische Steifigkeit 2;Verlustarbeit;Verlustarbeit 2;Speicherarbeit;Speicherarbeit 2;Kraft (Amplitude);Kraft (Maximum);Kraft (Mittelwert);Kraft (Minimum);Kraft (Spitze-Spitze);Frequenz;Verlustwinkel;Verlustwinkel 2;Verlustfaktor;Verlustfaktor 2;Überwundenes Delta;Überwundene Steifigkeit;Dehnung (Amplitude);Dehnung (Maximum);Dehnung (Mittelwert);Dehnung (Minimum);Dehnung (Spitze-Spitze);Dehnung in % (Amplitude);Dehnung in % (Maximum);Dehnung in % (Mittelwert);Dehnung in % (Minimum);Dehnung in % (Spitze-Spitze);Spannung (Amplitude);Spannung (Maximum);Spannung (Mittelwert);Spannung (Minimum);Spannung (Spitze-Spitze);Temperatur
;;;mm;mm;mm;mm;mm;%;%;%;%;%;kN/mm;kN/mm;Nm;Nm;Nm;Nm;kN;kN;kN;kN;kN;Hz;°;°;;;;;mm;mm;mm;mm;mm;%;%;%;%;%;N/mm²;N/mm²;N/mm²;N/mm²;N/mm²;°C
10.000000000;0.162516157;-nan(ind);1.549011643;0.823175327;-0.725836316;-2.274847959;3.098023285;1.549011643;0.823175327;-0.725836316;-2.274847959;3.098023285;1.866979591;nan;0.761357733;0.000000000;4.684812558;0.000000000;2.891973123;1.946098503;-0.945874620;-3.837847744;5.783946247;6.000000000;3.101163462;-nan(ind);0.054178430;-nan(ind);3.391523939;1766596.654852099;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;289.197312334;194.609850292;-94.587462041;-383.784774375;578.394624668;0.000000000
30.000000000;0.158990134;-nan(ind);1.623282840;0.897442173;-0.725840667;-2.349123507;3.246565680;1.623282840;0.897442173;-0.725840667;-2.349123507;3.246565680;1.885797776;nan;0.816765775;0.000000000;5.137210442;0.000000000;3.061183169;2.108358872;-0.952824297;-4.014007466;6.122366338;6.000000000;2.999059696;-nan(ind);0.052391323;-nan(ind);3.295193685;1779604.544255634;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;306.118316902;210.835887228;-95.282429674;-401.400746576;612.236633804;0.000000000
50.000000000;0.159807522;-nan(ind);1.645766748;0.919808603;-0.725958145;-2.371724893;3.291533496;1.645766748;0.919808603;-0.725958145;-2.371724893;3.291533496;1.885795285;nan;0.844343140;0.000000000;5.283500622;0.000000000;3.103579174;2.167449929;-0.936129244;-4.039708418;6.207158348;6.000000000;3.016207641;-nan(ind);0.052691437;-nan(ind);3.309297487;1779213.158941335;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;310.357917380;216.744992948;-93.612924433;-403.970841813;620.715834761;0.000000000
70.000000000;0.160531575;-nan(ind);1.651704560;0.925710543;-0.725994016;-2.377698576;3.303409119;1.651704560;0.925710543;-0.725994016;-2.377698576;3.303409119;1.892836279;nan;0.853776517;0.000000000;5.318433579;0.000000000;3.126406313;2.182972179;-0.943434134;-4.069840446;6.252812625;6.000000000;3.016753744;-nan(ind);0.052700995;-nan(ind);3.320173129;1781832.913573098;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;312.640631273;218.297217899;-94.343413374;-406.984044647;625.281262546;0.000000000
90.000000000;0.158040306;-nan(ind);1.652424343;0.924319092;-0.728105252;-2.380529595;3.304848687;1.652424343;0.924319092;-0.728105252;-2.380529595;3.304848687;1.896830016;nan;0.840704174;0.000000000;5.319555462;0.000000000;3.134368094;2.190418382;-0.943949711;-4.078317805;6.268736188;6.000000000;2.961677743;-nan(ind);0.051737116;-nan(ind);3.276778038;1782233.858862399;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.436809396;219.041838247;-94.394971149;-407.831780545;626.873618792;0.000000000
110.000000000;0.157922457;-nan(ind);1.649257669;0.924210671;-0.725046998;-2.374304667;3.298515338;1.649257669;0.924210671;-0.725046998;-2.374304667;3.298515338;1.888771672;nan;0.836293697;0.000000000;5.295597034;0.000000000;3.115071165;2.172106071;-0.942965094;-4.058036259;6.230142330;6.000000000;2.970090064;-nan(ind);0.051884333;-nan(ind);3.256216662;1781420.437820738;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;311.507116515;217.210607094;-94.296509421;-405.803625936;623.014233030;0.000000000
130.000000000;0.159499299;-nan(ind);1.651167160;0.925187710;-0.725979450;-2.377146610;3.302334320;1.651167160;0.925187710;-0.725979450;-2.377146610;3.302334320;1.890237351;nan;0.847624453;0.000000000;5.314283257;0.000000000;3.121097838;2.170575795;-0.950522043;-4.071619881;6.242195676;6.000000000;3.001071980;-nan(ind);0.052426540;-nan(ind);3.289129062;1782755.608968188;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;312.109783782;217.057579455;-95.052204328;-407.161988110;624.219567565;0.000000000
150.000000000;0.157712669;-nan(ind);1.654665845;0.928211400;-0.726454445;-2.381120291;3.309331691;1.654665845;0.928211400;-0.726454445;-2.381120291;3.309331691;1.893795067;nan;0.840986288;0.000000000;5.332395249;0.000000000;3.133598016;2.185720695;-0.947877321;-4.081475338;6.267196033;6.000000000;2.959383235;-nan(ind);0.051696962;-nan(ind);3.270918089;1782995.209600159;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.359801632;218.572069494;-94.787732139;-408.147533771;626.719603264;0.000000000
170.000000000;0.157699871;-nan(ind);1.652682069;0.927080239;-0.725601830;-2.378283900;3.305364138;1.652682069;0.927080239;-0.725601830;-2.378283900;3.305364138;1.891600433;nan;0.839304993;0.000000000;5.322166640;0.000000000;3.126214118;2.176677523;-0.949536595;-4.075750713;6.252428236;6.000000000;2.964000382;-nan(ind);0.051777762;-nan(ind);3.256380232;1783385.958774605;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;312.621411792;217.667752303;-94.953659489;-407.575071282;625.242823585;0.000000000
